PK_TEMPO;DateKey;Promised Delivery Date;Actual Delivery Date;Invoice Date
8928c68346ced7a2f9dcb47ccaca674b1ba83b78d2108610a4f040dc89bd6a11;02/02/2017;01/02/2018;01/02/2018;05/02/2017
bd2ff9887da5fa0e1683b48894105ac660f153a35c97e0493e4cdc1f6b9725f7;05/05/2018;03/05/2019;03/05/2019;07/05/2018
13ccf0c42456abef1361e5a978386b19e0c0a9eff9d1f98d2443ebf9a73f1fb3;02/06/2018;04/05/2019;04/05/2019;04/06/2018
9d9045d37668f181831b4606bc14271290ebe6760e08d7a73731bc9eff04a292;03/07/2017;05/07/2018;05/07/2018;05/07/2017
51f81f87ef9193fe4f065c35bad8e1a524e7680245baec26dda09d6bf2971dba;04/08/2017;04/08/2018;04/08/2018;06/08/2017
c78fd84b231e4fe340a63b0718b493a21884d53d249d1d934a79f6a73e899df7;25/08/2017;25/08/2018;25/08/2018;27/08/2017
9f18977df13f1c28f59b2de254afca495c29ef7cf0890709fdf1f168b80275ab;10/09/2018;08/09/2019;08/09/2019;12/09/2018
bcee6dc6bda9f4b5738192d4a414a6f05f1f3f2761523dc76c291fe81f720f67;05/10/2017;13/10/2018;13/10/2018;07/10/2017
831ab5e50ddfbfd495af52d917ff06a6e456e5061ed60f2c33988dc39a7ecc1c;10/10/2017;10/10/2018;10/10/2018;12/10/2017
d6531e5b2b46004913c738981ce9155ac6a50f4d35d95ecaf2d11a93bc44d85e;05/01/2019;04/01/2020;04/01/2020;07/01/2019
209587ca6f267aa0440b52d0df5b2bac75e6be15ce3ac5655ecb9a53004f6a51;17/02/2019;16/02/2020;16/02/2020;19/02/2019
b806b228a468f3fa761b5228f7e44808a5b50f39c634a50e3a2752cf4eb8ef76;19/02/2019;19/02/2020;19/02/2020;21/02/2019
66116ade171ca25ea6a5d7e39b8694698bc82a33bb3c02449a29b02d9ea99cef;02/05/2017;03/05/2018;03/05/2018;04/05/2017
66c49a269e8894448efc498c2649748aeeaabb7629a45629b8eabcc9f242e1e6;16/06/2018;29/04/2019;29/04/2019;18/06/2018
f8383715030d5c4d34995cbc1a079fda1073d18d54207bab180320d1920eefbd;05/02/2017;02/02/2018;02/02/2018;08/02/2017
d50cbe85b22937ad234b215b075621508faa887fd1c0ec800bf6a4478c5ef4b2;14/02/2017;13/02/2018;13/02/2018;17/02/2017
b6821f5806a11a5f766ea46b0f51f33f31e19f6798ccc7f47e080074cde675ff;14/03/2017;09/03/2018;09/03/2018;16/03/2017
d66f04421c87c5e85eb60753f3c0e440c21875a2bd19c8697581a99767524a01;26/03/2018;25/03/2019;25/03/2019;28/03/2018
f50574fe6f6337c24c167e676affe4c4e5e8edcdde4634593b7dae6f16850458;26/05/2017;25/05/2018;25/05/2018;28/05/2017
86b2024d8f5d5c38dfbffba76f0e8551724ea9b5a09c83519fca9ebafb49c3cf;20/06/2017;20/06/2018;20/06/2018;22/06/2017
2672a47b4be5c48507a4f933787e6ea13716263acff64922b459f56f153dbb2c;21/06/2017;21/06/2018;21/06/2018;23/06/2017
0d495ff14f008054dfcd0dddf31934a38ff52ce2a48c48172cc6c8243fda873c;23/06/2017;26/06/2018;26/06/2018;25/06/2017
629a3f7d561bcb260b172a684944040c6b19805e50c3e084c9a99cd81e459fd9;17/09/2018;10/09/2019;10/09/2019;19/09/2018
c328b9acbb206a36e70900a0cf1e4c215354bb7bdf421fc4cc0980e906ee7ead;01/03/2019;25/02/2020;25/02/2020;03/03/2019
4cbd2d7b371f9b86375453ed8224d9761b74f3e7621271dff1c98c940d9ff29f;28/06/2018;28/06/2019;28/06/2019;30/06/2018
93d6a452941016c33e812949d2143fadbbd8f3a63880c42795d90a46e3a114a9;24/02/2018;24/02/2019;24/02/2019;26/02/2018
779baf48a50dfcceb893ebddc1658db03b4b5baecead3daa8b846e59c65d4ea4;28/02/2017;28/02/2018;28/02/2018;02/03/2017
589764d5e071c2dd466a4080739a46805d0fb0e33a7e2c5829631737fcd69399;19/07/2018;19/07/2019;19/07/2019;21/07/2018
c676a66b49cf9aeebd109418cb5472cec63acee88d0aae3db1a3bcb37fe04086;23/09/2018;22/09/2019;22/09/2019;25/09/2018
1a6f591ec117b76f956ca82507a0c5a572e8c343c00189d04020860bf4151812;17/12/2018;17/12/2019;17/12/2019;19/12/2018
55d282984484e838ac9d5eb50cb142a13e48c800d06a031fd0d24fab18d9c2da;20/12/2017;19/12/2019;19/12/2019;22/12/2017
5b8c31321b9c49ab57d607a488681e9e6ebf0b8974913e25c749c4444045103e;19/02/2019;18/02/2020;18/02/2020;21/02/2019
0ff9984c8b8b9cfda3bd15588bf4491ec9a1765f8320330485a580b988576d1d;17/03/2019;18/03/2020;18/03/2020;20/03/2019
667f14c53232199fd2751d236cc5e593df2dc554922867032c979e8b41c48924;01/01/2018;13/12/2018;13/12/2018;03/01/2018
5c417fa9b0b0a2b9245bc91543515e8096145a772a1632c569648dfbb3a10042;06/03/2017;05/03/2018;05/03/2018;08/03/2017
3187b1dbea292de47a1ff17725a34d2f2bb0ca74d94dc254cc78ed34654b68a9;21/03/2017;20/03/2018;20/03/2018;23/03/2017
abbd4e6e63736be478e0754c04309dad81f346ee8ab06377277eafb85d566ee0;18/05/2017;17/05/2018;17/05/2018;20/05/2017
9ed20c46d44d3a47e37eed79b8903d1fc0fd2ae4c763c1e4a72700972323b0de;07/08/2017;04/08/2018;04/08/2018;09/08/2017
879675f6bff593c9785b6876595d019e315151aee15eda70cb6f4b5dad43abb4;04/12/2017;04/12/2018;04/12/2018;06/12/2017
07b59db4320b9d29d1c897053ec1fc5d9017142dd835c4642b4ae798dbb745d4;03/02/2019;03/02/2020;03/02/2020;05/02/2019
9483ea1b69ab374eb3373f4102486ddc41bf0451d6f006bbcc0188dd4831cbe0;23/01/2017;22/01/2018;22/01/2018;26/01/2017
d7349cdbee155b0762975b82c4bbc23ff155ae0e7e59e27dace0e7b48fb4bae7;29/01/2017;29/01/2018;29/01/2018;01/02/2017
82bebdcd2f82cb7832541c39d0ac9c3956fb4b480dd005677e1bce5989b5e1b3;16/03/2018;15/03/2019;15/03/2019;18/03/2018
06c757f69eadf4be5a8c5d2290813b9c8f416984060ea9d0d65f9811c8eaebda;14/08/2017;11/08/2018;11/08/2018;16/08/2017
e646d04511a2dcd3f1cd07c0ac5d7faa517b8d6f1d731e1a6b5b6c8145bc8636;05/12/2017;06/12/2018;06/12/2018;07/12/2017
604b472b6d3e298ef8f85223d26e5e2e5f4bead3597a4c6dc6e602ce02f41c93;22/02/2017;21/02/2018;21/02/2018;25/02/2017
f661668b91536821ca06cabbc849dcc3109441150c52063e83935b0187c870ab;17/03/2017;17/03/2018;17/03/2018;19/03/2017
b7b121769edf774bb7999f85f580a58681fd68f05e59e4ef58e3be1288099d29;25/03/2018;01/04/2019;01/04/2019;27/03/2018
38ef22caac2086c6b93d013fb8cdb1fbfed39d980d20c390e188d6455f418dfc;27/07/2017;25/07/2018;25/07/2018;29/07/2017
ae36bdcdc14a519ea32f29840e2b3779d0aa926d3c07a57c37a8a10a2e6927b4;28/07/2018;28/07/2019;28/07/2019;30/07/2018
811c75a1b8e8432c4d97bce4a765d9afe95343ebd1687d486fea539e0ccbcaea;24/08/2018;24/08/2019;24/08/2019;26/08/2018
8be54202ca17ea5b900d4e403f699b9f04c1559152a3b660006fd97dcd28b3b1;27/09/2018;17/09/2019;17/09/2019;29/09/2018
15233d73f3a327e4df7a42e6a443e488f3230a1e4198ae6e088cab63336d25fd;09/11/2018;08/11/2019;08/11/2019;11/11/2018
e30e51ec6ba668e38d3a3a6295feccbae6a4f10de9a7dfe88061df40976d423a;25/11/2018;25/11/2019;25/11/2019;27/11/2018
e5c75c2887385043718fe8687566b44f84e8cdf02c1096a962786fbd765c36f8;14/01/2018;14/01/2019;14/01/2019;16/01/2018
110721018a0e6287c0f21410eb93515de025c68cb83cff1ca339c5b89462dcb5;26/01/2018;23/01/2019;23/01/2019;28/01/2018
6f9e7a198eaf31582d9a1698342a4343222f8d6aa9de8b4f08422c286f09ded4;19/02/2017;16/02/2018;16/02/2018;22/02/2017
299cd159347c07cec5a800ae5f9c19c55cf82b4356ff4628cf9d46c6cf3401ae;06/04/2018;14/04/2019;14/04/2019;08/04/2018
a17b967b231d0a406a48fe939a527bee3f1847f2edd5616f1acd46dca69d0c56;15/04/2018;15/04/2019;15/04/2019;17/04/2018
d1dd9e5990b9bd2f826892e11ab4c85559b61fc8c63d41bc39b3c78ce5a57a91;25/05/2017;23/05/2018;23/05/2018;27/05/2017
0061c2c319f6433fdb67c9d8e83bb0a0d64a2d47604883b2214fc4926f7c5a75;17/06/2018;29/04/2019;29/04/2019;19/06/2018
c88cf24f1ca1d87ebcca15211caac6332932884a92eb6ae2ea8d745289167226;21/07/2017;21/07/2018;21/07/2018;23/07/2017
c51cbd262a8f27a7adb7e8e4fa9da2f2292b4bf3f81dd6ed3ef440560924ef2d;21/07/2018;21/07/2019;21/07/2019;23/07/2018
934296c545edc1f2d3ff8f5a91a9ff3e6567bc5ce7d5c60171622f192acb39d3;30/09/2018;01/10/2019;01/10/2019;02/10/2018
b8f42c1e7e7f42760c2abb2e3a496a3d1a4084d0d3cfcbe0fc48f5323e403d23;25/10/2017;25/10/2018;25/10/2018;27/10/2017
46b50ec46931c46d90162c33a4890282942802795947e1c0e8e62175ebf5c635;11/01/2019;08/01/2020;08/01/2020;13/01/2019
aa1d9e7b13b0a4154165d1c9c5ae741caa18d392746efef319910d2b69494411;28/01/2018;27/01/2019;27/01/2019;30/01/2018
5406d3a3f8776fdc69f1d261282387dfacaf61d71258347b6da0a207bcf5c8a4;21/02/2017;22/02/2018;22/02/2018;24/02/2017
b1622c38d1190cee03b1ec4170cc3574f93da38ace4431d1321f30c6c1cc54d5;24/03/2018;24/03/2019;24/03/2019;26/03/2018
97bf6f642893a436a8d395d4b6bc45be6e117f2eac376709fb744d786cd13f06;09/06/2018;08/06/2019;08/06/2019;11/06/2018
e3012967d09c54de7fc7508a6ea98c174e6e93b29ee88a9797d21a00256356ee;03/10/2017;03/10/2018;03/10/2018;05/10/2017
60d985514caea409d6e0f7b459b9080d47d64dee4730a96c99a20d1793115ba5;03/10/2017;02/10/2018;02/10/2018;05/10/2017
42f77c1211006e049dd36a3eff9b5c36bc8f1be1322a396d9a2bfdbc94a8ff90;25/11/2018;30/11/2019;30/11/2019;27/11/2018
6c3669215405b4029e48a22ade76ee40bec04e4eb2364fb81b9f886b4085e4d6;21/12/2017;20/12/2018;20/12/2018;23/12/2017
b37f395c23584a09ee80af94fb95e39ddb256b98fb176eb95560aafb3568cced;16/03/2017;15/03/2018;15/03/2018;18/03/2017
6a980511a43458a7dbd9198b0ead5237312fcfd7fffccc5052799f4b1024474a;18/03/2018;18/03/2019;18/03/2019;20/03/2018
0bfa4e5d7553b3fbdf4f6a41c19d202f87703f0da390458102a87bd8fe170ce9;12/05/2017;10/05/2018;10/05/2018;14/05/2017
46e144649245182c7f8d931d50eb6f86613d4dae7b97181c39e14a8bb0d25621;05/06/2018;07/06/2019;07/06/2019;07/06/2018
bd25d80a29142688b727a02b17401ef71445432a2a48ed5d2837656e58c602f9;22/06/2018;24/06/2019;24/06/2019;24/06/2018
d8977be28a43a57f63817ba25f5f35d11dfda29ccc12e2c1479dbfdba7d20ea1;01/10/2018;30/09/2019;30/09/2019;03/10/2018
6dcd3c1cd66075fdd5dd3e5c5c0c57d579239b545809ac4f75d246eaf0dc0c73;26/01/2019;25/01/2020;25/01/2020;28/01/2019
7a3044f1308f4b1da329673f7fbf9cb202effef413438609fc365166ed1a7f24;15/03/2019;11/02/2020;11/02/2020;18/03/2019
951e0a3a42ac92643855aba83957e4956480b13574812ba828c1ec14d500368e;28/04/2018;28/04/2019;28/04/2019;30/04/2018
7ccedcdbd1c587010da8fdd2885f59fc639638600bca62db02baf7467527d1cd;12/02/2017;12/02/2018;12/02/2018;15/02/2017
183197b22aac00432fe971f315a42adb7511511edfe434b3e7287db90be6528e;06/01/2019;31/12/2019;31/12/2019;08/01/2019
edd772d8527185645bf22f79d2449a34e13242294a2986601fe3ddfb1a03d02c;08/01/2018;08/01/2019;08/01/2019;10/01/2018
13fc37a29e34a1fde5548571b983c3374b78e7f5d80bed3e896430ef066bf299;23/01/2018;22/01/2019;22/01/2019;25/01/2018
9e0ba2d26bbd4e99d80393543fe6333ab367cbfef6f24cd61871e10e231ec741;08/02/2017;07/02/2018;07/02/2018;11/02/2017
6c73283e0a0d25a44930f05d22cc31181930cc6faa47811112e3635812805659;20/03/2017;17/03/2018;17/03/2018;22/03/2017
502c1fa1d768a83447e1fe3d33e720182a8253625f7c4ed4a92496dc343bcd5b;27/03/2017;27/03/2018;27/03/2018;29/03/2017
71dc9a1093ab256e1c389a53fe3c9b7e443efc722e0e7d7269ca0ec16e984471;07/07/2017;26/06/2018;26/06/2018;09/07/2017
e4250282b7d0efcc48177c249a0a28c5e6811a3b26ad45037dcb55dc1ed5c3be;08/09/2017;07/09/2018;07/09/2018;10/09/2017
775126e18cf32ce3b29386ecec6171397320b4adcd70034af9c6a7837c9c98ec;07/09/2018;06/09/2019;06/09/2019;09/09/2018
13acda7eed736e8dcf7bb092085651e6f48791f614e92684bf0b5411a71d1987;20/09/2017;19/09/2018;19/09/2018;22/09/2017
3f5a754de034667564e8cb088b39a1bad053533044b8dea1a3828af7dc98cb7c;01/01/2019;01/01/2020;01/01/2020;03/01/2019
8e520d9f828e88489e8687ce751e4dc19d739fe86cc7d94129668c869dab6bbe;15/02/2019;12/02/2020;12/02/2020;17/02/2019
2c91fa21af5da33c68097e8559bf189b7b8f4d3097f8d21e309d46b1be1a4459;17/03/2019;16/03/2020;16/03/2020;20/03/2019
36d699dfeae7867e48d267334e2007ad20af53ea676907eb0dfe626b7a55532b;29/06/2018;30/06/2019;30/06/2019;01/07/2018
7c2546163ec1607dca326020a04c4032d0ce70afedae17c74c14eee906202c1d;02/10/2017;03/10/2018;03/10/2018;04/10/2017
d8845ec48bef6f081c2287c9bb83ee608ecc18fc37b69b0f181ef9a9ded6d0b0;28/12/2017;28/12/2018;28/12/2018;30/12/2017
265ee47b19f4bb52684940f2180e7f509611700cffdb3bdffc7d2455c49a4064;08/02/2019;05/02/2020;05/02/2020;10/02/2019
df8ba3508dce34d6f3317307aa0fb06b61fff3542ce7760f6feb80423fc19992;09/02/2018;09/02/2019;09/02/2019;11/02/2018
73f43ac7d7d87261e990725ab160aacdf584b746eb5b14eb247798ee8acbf251;14/07/2018;08/07/2019;08/07/2019;16/07/2018
fc606fb9ca539610e10ae7f6fc5cdb105343179467ea3db67cce32897d103957;20/09/2017;18/09/2018;18/09/2018;22/09/2017
7e8df9ec88a90bb4e51072e35116fba5c23a77d8ce88010cb930893f31f33e50;29/09/2017;29/09/2018;29/09/2018;01/10/2017
fa5c5824266d8ed6d384653ca16c11b9e316dc1955d66dbdc2303f4529e9c828;29/10/2018;29/10/2019;29/10/2019;31/10/2018
14052656e73edc6c2896d7df0aa41794e7f8c8a2f8b92e93a5b1b22746f3d5c3;30/11/2017;30/11/2018;30/11/2018;02/12/2017
b0fdde306f990fb6d4de83aa4e75ba2689255baefd39c141bad7457cea0a2eb2;05/01/2019;05/01/2020;05/01/2020;07/01/2019
dead93f02b27721c7d4a99494822386540aff2da14338a5deff6a069beb34727;23/02/2019;18/02/2020;18/02/2020;25/02/2019
d134e57836107065803d8f544556835b146d0f7d6c80a6429d90b3651ea060cb;02/03/2019;29/02/2020;29/02/2020;05/03/2019
1c6d73aa0d9d636e61f320f7eeeab4aa519f029a0336922d164e5ebbd8265847;17/08/2018;17/08/2019;17/08/2019;19/08/2018
00dc7a862fb48a5f3155936c813cd51927702bc31fa147afd36402d8dd6bda68;07/09/2018;22/07/2019;22/07/2019;09/09/2018
9cb4f69308e3e8b1b0bda05338179b30cefdac5abc410d727a1770273fda4c5d;31/12/2017;30/12/2018;30/12/2018;02/01/2018
97c86b5e769622f17d690cc5e7343df8a406185dfec3dc892f0c584f587ef56b;22/03/2017;21/03/2018;21/03/2018;24/03/2017
6c1586978b7c43aa5225eec0a3402c504c4348174058573bc36ddcbc03d0dc12;17/05/2017;17/05/2018;17/05/2018;19/05/2017
0b490203ec2401525c62c568aba438144262621536172a27290f6cf468d4a498;24/05/2017;24/05/2018;24/05/2018;26/05/2017
941e280ff90b3947edf9931ba058df50300e13671804b23ae16bcda2141a1288;07/06/2018;08/06/2019;08/06/2019;09/06/2018
0067b6003ba32ac026c3c208ea5846ac882d834ee5f7c7ca47a665c2f68cae6a;09/06/2017;07/06/2018;07/06/2018;11/06/2017
0042fbf813b465d5095073cdb9cdbb971c8ad8d0b4acad7b80c7a2cd74e5c487;24/09/2018;12/10/2019;12/10/2019;26/09/2018
d1654c156994fa1bdb375786d5c49509faeed0066c53c3934dea3743d945dd1c;08/12/2017;07/12/2018;07/12/2018;10/12/2017
59af1ac97abdb37d33c6b541e2d4b7df244e40f8c36c7f50a368969111f2c16e;01/03/2019;29/02/2020;29/02/2020;03/03/2019
5dc7004b041833bfda761a4cda6f952b0c4ac0e43bccbf67f3c5e6e1340df9a4;09/03/2018;09/03/2019;09/03/2019;11/03/2018
8cc056fa4238194321ac88a4fefa8e228961de59a89f2f0a65c87e785207ea51;04/08/2017;03/08/2018;03/08/2018;06/08/2017
9c5570245322c7e9be325f760320c56870364113e5a439235faf29c8a040bf02;07/03/2019;04/03/2020;04/03/2020;10/03/2019
e55636c0ab696d5460ff96ca08cca596064b030637e0035d4aef18df8bab0248;29/01/2018;27/01/2019;27/01/2019;31/01/2018
7166142e7e4ce1878954b998e4666a17e7ecce7e29771c1886d87edb339b6eed;06/02/2017;06/02/2018;06/02/2018;09/02/2017
c35965f7346cd4ff83b88a86293ce86cbf51a9209dcb8490d9484dbfab4e00bb;21/11/2017;20/11/2018;20/11/2018;23/11/2017
12c1a3f543049a519b856db63be8e0ad17d75ee5389a65ad4733b32b8b432cad;23/03/2017;23/03/2018;23/03/2018;25/03/2017
bb9a4ed2a4d1b36408d600a6d2d84be82854480a4d8c474fc655f661e2505a3b;23/08/2017;23/08/2018;23/08/2018;25/08/2017
8ea535dabfa3b30e9041010fec1a200ef92fa2f3ad12f94ca96b7cdebcddf51f;04/09/2017;01/09/2018;01/09/2018;06/09/2017
e54baba2aa2475fac562ef345508d9dce3929b23f0a78fbf5fb28cde582a1fa4;23/10/2017;19/10/2018;19/10/2018;25/10/2017
80d5d3457a95bc35c453ed1434b0dd157d56e0f25f1ffd020282048f83a1a27f;22/11/2018;23/11/2019;23/11/2019;24/11/2018
cbc8e9a0882abf6665f01e59255d920cf0fb5d386995b74c8b3431dada50d2fa;05/07/2018;05/07/2019;05/07/2019;07/07/2018
4e63ee4325919492b57d60228222e6f4995e7e4aa54e43abc498914f07b90f63;20/01/2018;20/01/2019;20/01/2019;22/01/2018
21521dac97d378b4ec3e5dda9c815efa9e9924fd933ed1b3d5ae20d620fadc88;20/04/2018;21/04/2019;21/04/2019;22/04/2018
79a31c523a61d791fb0405c5bf440e2b05661cb073b8b9931172a02e031714ff;15/08/2017;14/08/2018;14/08/2018;17/08/2017
583a9d8943a0709e8527eb7842df6daf8fdd175af921cec06596d34047cbaca4;06/09/2017;05/09/2018;05/09/2018;08/09/2017
09e081f1f3c0782d6ffee4ffc1969386ca489ef56b3b84bc29ebea65eda1c975;06/10/2017;06/10/2018;06/10/2018;08/10/2017
2f7389bd9ba9756431dedad915d8930345ad6ba6652c675d5ef6d3e39e38f8cb;12/10/2018;12/08/2019;12/08/2019;14/10/2018
e80a3da7241168d6de6f045696d5cf58512b87ded22c95b44901d1815f2ea944;27/10/2018;10/11/2019;10/11/2019;29/10/2018
5412e43b9630b7b097e373a31520261d813366ac00c610036bab0780beb42c5d;04/06/2018;07/06/2019;07/06/2019;06/06/2018
1de89c4da4b61aab325c2d616406a725c81aa2ffb9f8c8a0a639c9b9eff47fc9;09/06/2017;08/06/2018;08/06/2018;11/06/2017
15af184873901a1301e8e4460c5be3e07d8a6a02f7bad9ecf20797955ffd601b;04/07/2017;04/07/2018;04/07/2018;06/07/2017
cac53a4c67c101281fd6db87550e2c1560fbf2a46f0d23493b2a4932b76d9573;08/10/2018;07/10/2019;07/10/2019;10/10/2018
1b6570631fe84e3c3cc14a16128d6a48e8ad6041dbc79e7ab83defef3b97e866;01/12/2017;01/12/2018;01/12/2018;03/12/2017
8ddf3f3669defb26a7aa4bef7ca0548a434f7951a5bdf1838066a13b31220619;07/10/2018;07/10/2019;07/10/2019;09/10/2018
47bfc5801c85ef7d96b25bd4c1183e27f0e6cac6031a802fb1a760f914525508;27/09/2018;28/09/2019;28/09/2019;29/09/2018
cc5c5102fd40bd9db5d9aedc2573fea035d0dec10f5800b59c5d5c04153b88ad;09/02/2017;09/02/2018;09/02/2018;12/02/2017
3986bd327bb3ebebcf272de066516ee88b4304ba137e0495e4d912d075899a0e;05/04/2017;06/04/2018;06/04/2018;07/04/2017
1da5e0eddc6cb319b90c33c511c3971dfc6ba695c9f23569d0f49d2a30da10d6;13/05/2018;13/05/2019;13/05/2019;15/05/2018
7a3f4bc8d2298369916e971b8e3f835a9ac56351a3243762e1bad00105625c10;20/05/2018;16/04/2019;16/04/2019;22/05/2018
3321329f3e6e7044ea339e2ed4abad43d0b87244cea1e6434b4cbbeaa9a7fe9c;10/06/2018;11/06/2019;11/06/2019;12/06/2018
88a027140c1bea1863e6afaee209add7d5f84c85a5fbb2801537ea38b4daf9f8;16/07/2018;15/07/2019;15/07/2019;18/07/2018
d678fe84ccf5dd54ad53a3fcdc80bcd8e1fcb6cca7531f7e9d827a7be8d72756;20/07/2017;19/07/2018;19/07/2018;22/07/2017
83f5e562a5202c9e2b6e0c8c63b770aca8bb33bd80cbf785b4664870051a0708;07/01/2019;08/01/2020;08/01/2020;09/01/2019
97ce67415811ff95135f16c8b798a001790682ffea22de7f899b3393bb5abc3a;25/03/2018;31/03/2019;31/03/2019;27/03/2018
caa8457c7e262f4c1ee4f47e84c05a2b979c616194cad326b880692ea658cc03;30/03/2018;29/03/2019;29/03/2019;01/04/2018
2d4febd1dde155e611d285afc00252467f8c13ca972cc9bda78d21dc80e64631;12/04/2018;07/04/2019;07/04/2019;14/04/2018
5476b28d84e06ed9ab5f18e86ece6da6e4ecff5f45983a9fda6e599d6ecc8aeb;13/04/2018;12/04/2019;12/04/2019;15/04/2018
da4b2310785c32af45263e022524dcb11e13ec085c70d44c2a13a9054b40308d;06/10/2018;02/10/2019;02/10/2019;08/10/2018
eb9295de84ff1febc3b1c1ac10fbc1b6a70d37e40aaad287f930cd0bac991a04;11/10/2017;11/10/2018;11/10/2018;13/10/2017
ca60a980d8072d743cadd9ac4c3d9084c73f2312c123eb29b451b21c6dea59f9;17/11/2018;16/11/2019;16/11/2019;19/11/2018
f58717087c26bad7e6ab63c3c32f76f28c68ddb60a690a93a72f554dcfc9e50d;14/12/2018;14/10/2019;14/10/2019;16/12/2018
43d7fb906519d83ac1359e756da8aac51cbf845fa32255201b7311757dd2b16b;16/09/2018;16/09/2019;16/09/2019;18/09/2018
e79944d3dfd406cae56835b23619af27aaffbc04e434f80cff020001fc6c7581;11/08/2018;11/08/2019;11/08/2019;13/08/2018
